model,rmse,mae,r2
RandomForest,8346.12310343537,4581.463041677491,0.6724969916098367
GradientBoosting,10919.764958851427,6867.242143769655,0.4393752038547797
LinearRegression,12347.53503048061,8147.856494691715,0.2831863690947576
AdaBoost,18411.32356289336,13115.638187589464,-0.5937336492495209
